"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 09 14:48:29 UTC 2023","Sat Dec 09 14:48:30 UTC 2023","474","tests","test_dynamic_content_page","","","","test_go_to_page[chromium]",""
"passed","Sat Dec 09 14:48:24 UTC 2023","Sat Dec 09 14:48:25 UTC 2023","584","tests","test_challenging_dom_page","","","","test_present_challenging_dom_page[chromium]",""
"passed","Sat Dec 09 14:49:35 UTC 2023","Sat Dec 09 14:49:37 UTC 2023","1570","tests","test_form_authentication_page","","","","test_failed_login[webkit]",""
"passed","Sat Dec 09 14:49:05 UTC 2023","Sat Dec 09 14:49:08 UTC 2023","3030","tests","test_dynamic_loading_page","","","","test_go_to_page[webkit]",""
"passed","Sat Dec 09 14:48:27 UTC 2023","Sat Dec 09 14:48:28 UTC 2023","582","tests","test_add_remove_page","","","","test_remove_element[chromium]",""
"skipped","Sat Dec 09 14:49:14 UTC 2023","Sat Dec 09 14:49:19 UTC 2023","5069","tests","test_exit_intent_page","TestPopup","","","test_close_popup[webkit]",""
"skipped","Sat Dec 09 14:48:26 UTC 2023","Sat Dec 09 14:48:27 UTC 2023","542","tests","test_conext_menu_page","","","","test_should_view_context[chromium]",""
"passed","Sat Dec 09 14:48:26 UTC 2023","Sat Dec 09 14:48:27 UTC 2023","509","tests","test_drag_and_drop_page","","","","test_drag_and_drop[chromium]",""
"passed","Sat Dec 09 14:48:33 UTC 2023","Sat Dec 09 14:48:33 UTC 2023","324","tests","test_exit_intent_page","","","","test_go_to_page[chromium]",""
"passed","Sat Dec 09 14:48:42 UTC 2023","Sat Dec 09 14:48:42 UTC 2023","564","tests","test_conext_menu_page","","","","test_go_to_page[webkit]",""
"passed","Sat Dec 09 14:48:34 UTC 2023","Sat Dec 09 14:48:35 UTC 2023","407","tests","test_ab_testing_page","","","","test_ab_page[webkit]",""
"skipped","Sat Dec 09 14:49:14 UTC 2023","Sat Dec 09 14:49:15 UTC 2023","196","tests","test_file_uploader_page","","","","test_upload_drag_and_drop_file[webkit]",""
"passed","Sat Dec 09 14:48:25 UTC 2023","Sat Dec 09 14:48:26 UTC 2023","757","tests","test_add_remove_page","","","","test_remove_multiple_elements[chromium]",""
"passed","Sat Dec 09 14:48:31 UTC 2023","Sat Dec 09 14:48:31 UTC 2023","341","tests","test_form_authentication_page","","","","test_login[chromium]",""
"passed","Sat Dec 09 14:48:36 UTC 2023","Sat Dec 09 14:48:36 UTC 2023","330","tests","test_file_uploader_page","","","","test_go_to_page[chromium]",""
"passed","Sat Dec 09 14:48:25 UTC 2023","Sat Dec 09 14:48:26 UTC 2023","429","tests","test_add_remove_page","","","","test_go_add_remove_page[chromium]",""
"passed","Sat Dec 09 14:48:39 UTC 2023","Sat Dec 09 14:48:39 UTC 2023","599","tests","test_checkboxes_page","","","","test_press_checkbox[webkit]",""
"passed","Sat Dec 09 14:48:43 UTC 2023","Sat Dec 09 14:48:44 UTC 2023","933","tests","test_basic_auth_page","","","","test_unsuccessful_basic_auth_page[webkit]",""
"skipped","Sat Dec 09 14:49:11 UTC 2023","Sat Dec 09 14:49:16 UTC 2023","5034","tests","test_exit_intent_page","TestPopup","","","test_show_popup[webkit]",""
"passed","Sat Dec 09 14:49:16 UTC 2023","Sat Dec 09 14:49:37 UTC 2023","20890","tests","test_form_authentication_page","","","","test_logout[webkit]",""
"skipped","Sat Dec 09 14:48:34 UTC 2023","Sat Dec 09 14:48:39 UTC 2023","4944","tests","test_exit_intent_page","TestPopup","","","test_show_popup[chromium]",""
"passed","Sat Dec 09 14:48:41 UTC 2023","Sat Dec 09 14:48:42 UTC 2023","740","tests","test_disappearing_elements_page","","","","test_change_element_counts[webkit]",""
"passed","Sat Dec 09 14:48:37 UTC 2023","Sat Dec 09 14:48:37 UTC 2023","317","tests","test_basic_auth_page","","","","test_success_basic_auth_page[webkit]",""
"passed","Sat Dec 09 14:48:36 UTC 2023","Sat Dec 09 14:48:37 UTC 2023","462","tests","test_add_remove_page","","","","test_add_element[webkit]",""
"passed","Sat Dec 09 14:48:26 UTC 2023","Sat Dec 09 14:48:26 UTC 2023","406","tests","test_drag_and_drop_page","","","","test_go_to_page[chromium]",""
"passed","Sat Dec 09 14:48:24 UTC 2023","Sat Dec 09 14:48:25 UTC 2023","726","tests","test_checkboxes_page","","","","test_press_checkbox[chromium]",""
"passed","Sat Dec 09 14:48:25 UTC 2023","Sat Dec 09 14:48:26 UTC 2023","489","tests","test_conext_menu_page","","","","test_go_to_page[chromium]",""
"passed","Sat Dec 09 14:48:45 UTC 2023","Sat Dec 09 14:49:13 UTC 2023","27550","tests","test_dynamic_content_page","","","","test_dont_changed_content[webkit]",""
"passed","Sat Dec 09 14:49:10 UTC 2023","Sat Dec 09 14:49:11 UTC 2023","1295","tests","test_dynamic_loading_page","","","","test_second_example_show_load_bar[webkit]",""
"passed","Sat Dec 09 14:48:32 UTC 2023","Sat Dec 09 14:48:32 UTC 2023","419","tests","test_form_authentication_page","","","","test_logout[chromium]",""
"passed","Sat Dec 09 14:48:35 UTC 2023","Sat Dec 09 14:48:35 UTC 2023","456","tests","test_dynamic_loading_page","","","","test_second_example_show_load_bar[chromium]",""
"passed","Sat Dec 09 14:48:32 UTC 2023","Sat Dec 09 14:48:33 UTC 2023","424","tests","test_form_authentication_page","","","","test_failed_login[chromium]",""
"skipped","Sat Dec 09 14:48:24 UTC 2023","Sat Dec 09 14:48:24 UTC 2023","0","tests","test_broken_image_page","","","","test_go_to_broken_image[chromium]",""
"passed","Sat Dec 09 14:48:36 UTC 2023","Sat Dec 09 14:48:42 UTC 2023","5870","tests","test_dynamic_loading_page","","","","test_second_example_final_text_present[chromium]",""
"passed","Sat Dec 09 14:48:28 UTC 2023","Sat Dec 09 14:48:28 UTC 2023","473","tests","test_dropdown_page","","","","test_go_to_page[chromium]",""
"passed","Sat Dec 09 14:48:44 UTC 2023","Sat Dec 09 14:49:06 UTC 2023","21866","tests","test_entry_ad_page","","","","test_show_popup[chromium]",""
"passed","Sat Dec 09 14:49:17 UTC 2023","Sat Dec 09 14:49:36 UTC 2023","19422","tests","test_file_downloader_page","","","","test_go_to_page[webkit]",""
"passed","Sat Dec 09 14:48:40 UTC 2023","Sat Dec 09 14:48:41 UTC 2023","498","tests","test_disappearing_elements_page","","","","test_go_to_page[webkit]",""
"passed","Sat Dec 09 14:48:40 UTC 2023","Sat Dec 09 14:48:41 UTC 2023","639","tests","test_add_remove_page","","","","test_add_multiple_elements[webkit]",""
"skipped","Sat Dec 09 14:48:29 UTC 2023","Sat Dec 09 14:48:34 UTC 2023","5161","tests","test_exit_intent_page","TestPopup","","","test_close_popup[chromium]",""
"passed","Sat Dec 09 14:49:12 UTC 2023","Sat Dec 09 14:49:13 UTC 2023","338","tests","test_file_downloader_page","","","","test_file_download[webkit]",""
"passed","Sat Dec 09 14:48:42 UTC 2023","Sat Dec 09 14:48:43 UTC 2023","986","tests","test_add_remove_page","","","","test_remove_multiple_elements[webkit]",""
"passed","Sat Dec 09 14:49:13 UTC 2023","Sat Dec 09 14:49:14 UTC 2023","476","tests","test_file_uploader_page","","","","test_go_to_page[webkit]",""
"passed","Sat Dec 09 14:48:27 UTC 2023","Sat Dec 09 14:48:27 UTC 2023","363","tests","test_basic_auth_page","","","","test_unsuccessful_basic_auth_page[chromium]",""
"passed","Sat Dec 09 14:48:38 UTC 2023","Sat Dec 09 14:48:38 UTC 2023","324","tests","test_checkboxes_page","","","","test_present_checkboxes_page[webkit]",""
"passed","Sat Dec 09 14:48:28 UTC 2023","Sat Dec 09 14:48:28 UTC 2023","438","tests","test_basic_auth_page","","","","test_success_basic_auth_page[chromium]",""
"passed","Sat Dec 09 14:49:19 UTC 2023","Sat Dec 09 14:49:37 UTC 2023","17593","tests","test_form_authentication_page","","","","test_go_to_page[webkit]",""
"skipped","Sat Dec 09 14:48:43 UTC 2023","Sat Dec 09 14:48:44 UTC 2023","707","tests","test_conext_menu_page","","","","test_should_view_context[webkit]",""
"passed","Sat Dec 09 14:49:08 UTC 2023","Sat Dec 09 14:49:14 UTC 2023","6833","tests","test_dynamic_loading_page","","","","test_first_example_final_text_present[webkit]",""
"passed","Sat Dec 09 14:49:15 UTC 2023","Sat Dec 09 14:49:35 UTC 2023","20305","tests","test_form_authentication_page","","","","test_login[webkit]",""
"passed","Sat Dec 09 14:48:24 UTC 2023","Sat Dec 09 14:48:25 UTC 2023","654","tests","test_ab_testing_page","","","","test_ab_page[chromium]",""
"passed","Sat Dec 09 14:49:20 UTC 2023","Sat Dec 09 14:49:36 UTC 2023","16795","tests","test_file_uploader_page","","","","test_upload_file[webkit]",""
"passed","Sat Dec 09 14:48:30 UTC 2023","Sat Dec 09 14:48:31 UTC 2023","321","tests","test_form_authentication_page","","","","test_go_to_page[chromium]",""
